"N2Orate"	"N2OR2"	"CO2rate"	"CO2R2"	"CH4rate"	"CH4R2"	"chamberdates"	"waterdepthcm"	"soiltemp"	"airtemp"
"1"	0.0813850327831922	0.68387705608382	1548.79934063655	0.992058864032455	-0.0444020908690474	0.600033769530139	"2011-09-01 T5L1"	NA	69	69
"2"	0.109655107821148	0.985749547771873	1646.75204615579	0.983994321381751	-0.0743190087015013	0.47935117037279	"2011-09-01 T5L2"	NA	69	69
"3"	0.0662629447321457	0.902163623176575	1516.84026180234	0.993178936274455	-0.144421870098478	0.888601854641138	"2011-09-01 T5L3"	NA	69	69
"4"	0.0560658925294795	0.939178307645415	1639.15872742626	0.988445650866115	-0.100155873147784	0.525032599172919	"2011-09-01 T5L4"	NA	69	69
"5"	0.0471160432859226	0.429290831096671	1353.57302444391	0.975672740359975	-0.141370660135173	0.976268959754069	"2011-09-01 T5L5"	NA	68	69
"6"	-0.00555727165044494	0.521192488053334	32.5506411821775	0.986129986216332	0.053517994103568	0.873000096501681	"2011-11-22 T5L1"	8.425	44	44
"7"	0.00246960481496717	0.258880219149615	23.8158593701163	0.941230401321037	-0.00553597156007949	0.0725394980948435	"2011-11-22 T5L2"	9.075	42	44
"8"	-0.000961513291873887	0.0075081469223865	16.5745798707486	0.965664567456185	-0.0305597528382002	0.759606401208946	"2011-11-22 T5L3"	8.25	44	44
"9"	-0.00335558401084354	0.809831219526235	16.2083818687956	0.993192560374984	-0.00352220066681935	0.62959947316061	"2011-11-22 T5L4"	12.35	44	44
"10"	0.000204528337452787	0.000410650879890014	13.0083059721606	0.780284654470118	0.0143842973267759	0.240048872444693	"2011-11-22 T5L5"	9.225	44	44
"11"	0.0798747060328612	0.820194383545338	282.06575148038	0.995092391576257	0.0266197210850421	0.576478913099208	"2011-12-09 T5L1"	NA	37	35
"12"	0.185586843256902	0.980749987713207	423.387750565554	0.994510736976802	0.0146883931386756	0.0165150695510291	"2011-12-09 T5L2"	NA	37	35
"13"	0.512428306641303	0.994849900647548	735.65658534222	0.996581189491174	-0.0162165431865413	0.569815684455651	"2011-12-09 T5L3"	NA	36	35
"14"	0.0676036621548735	0.711490956734112	339.399726333344	0.994723557019405	-0.117717905481058	0.616251936319164	"2011-12-09 T5L4"	NA	37	35
"15"	0.0220387164525214	0.233503876172005	124.048689347173	0.983554311575738	0.121472844930662	0.583164501760452	"2011-12-09 T5L5"	NA	37	35
"16"	0.011698111545294	0.0376933876324028	263.189785796574	0.993999050957732	0.0043418679300384	0.0169683138859828	"2011-12-23 T5L1"	NA	40	34
